t_s,temp_c,sm_clk_mhz,power_w,util_pct,throttle_thermal,throttle_powercap,reasons_raw
0.0,54,135,41.5,0,0,0,1
0.066,54,135,41.5,0,0,0,1
0.119,54,135,41.5,0,0,0,1
0.187,54,135,41.5,0,0,0,1
0.241,54,135,41.5,0,0,0,1
0.306,54,135,41.5,0,0,0,1
0.361,54,135,41.5,0,0,0,1
0.429,54,135,41.5,0,0,0,1
0.482,54,135,41.6,0,0,0,1
0.548,54,135,41.5,0,0,0,1
0.602,54,135,41.5,0,0,0,1
0.67,54,135,41.5,0,0,0,1
0.724,54,135,41.5,0,0,0,1
0.789,54,135,41.5,0,0,0,1
0.843,54,135,41.5,0,0,0,1
0.909,54,135,41.5,0,0,0,1
0.963,54,135,41.5,0,0,0,1
1.031,54,135,41.5,0,0,0,1
1.085,54,135,41.5,0,0,0,1
1.15,54,135,41.6,0,0,0,1
1.204,54,135,41.5,0,0,0,1
1.272,54,135,41.5,0,0,0,1
1.326,54,135,41.5,0,0,0,1
1.393,54,135,41.5,0,0,0,1
1.447,54,135,41.5,0,0,0,1
1.513,54,135,41.5,0,0,0,1
1.567,54,135,41.5,0,0,0,1
1.632,54,135,41.5,0,0,0,1
1.685,54,135,41.5,0,0,0,1
1.754,54,135,41.6,0,0,0,1
1.808,54,135,41.5,0,0,0,1
1.875,54,135,41.5,0,0,0,1
1.929,54,135,41.5,0,0,0,1
1.995,54,135,41.5,0,0,0,1
2.049,54,135,41.6,0,0,0,1
2.116,54,135,41.5,0,0,0,1
2.169,54,135,41.5,0,0,0,1
2.236,54,135,41.5,0,0,0,1
2.29,54,135,41.5,0,0,0,1
2.355,54,135,41.6,0,0,0,1
2.409,54,135,41.6,0,0,0,1
2.478,54,135,41.5,0,0,0,1
2.531,54,135,41.5,0,0,0,1
2.598,54,135,41.5,0,0,0,1
2.652,54,135,41.6,0,0,0,1
2.717,54,135,41.5,0,0,0,1
2.77,54,135,41.6,0,0,0,1
2.839,54,135,41.5,0,0,0,1
2.893,54,135,41.5,0,0,0,1
2.959,54,135,41.5,0,0,0,1
3.013,54,135,41.6,0,0,0,1
3.079,54,135,41.6,0,0,0,1
3.132,54,135,41.5,0,0,0,1
3.199,54,135,41.5,0,0,0,1
3.252,54,135,41.6,0,0,0,1
3.32,54,135,41.5,0,0,0,1
3.373,54,135,41.6,0,0,0,1
3.441,54,135,41.5,0,0,0,1
3.495,54,135,41.5,0,0,0,1
3.56,54,135,41.5,0,0,0,1
3.614,54,135,41.6,0,0,0,1
3.681,54,135,41.6,0,0,0,1
3.735,54,135,41.5,0,0,0,1
3.801,54,135,41.5,0,0,0,1
3.854,54,135,41.5,0,0,0,1
3.922,54,135,41.5,0,0,0,1
3.976,54,135,41.5,0,0,0,1
4.042,54,135,41.5,0,0,0,1
4.095,54,135,41.5,0,0,0,1
4.164,54,135,41.5,0,0,0,1
4.218,54,135,41.5,0,0,0,1
4.283,54,135,41.6,0,0,0,1
4.337,54,135,41.5,0,0,0,1
4.403,54,135,41.5,0,0,0,1
4.457,54,135,41.5,0,0,0,1
4.524,54,135,41.5,0,0,0,1
4.577,54,135,41.6,0,0,0,1
4.645,54,135,41.7,0,0,0,1
4.698,54,135,41.5,0,0,0,1
4.765,54,135,41.5,0,0,0,1
4.819,54,135,41.5,0,0,0,1
4.886,54,135,41.5,0,0,0,1
4.94,54,135,41.6,0,0,0,1
5.006,54,135,41.5,0,0,0,1
5.059,54,135,41.5,0,0,0,1
5.128,54,135,41.5,0,0,0,1
5.181,54,135,41.5,0,0,0,1
5.248,54,135,41.5,0,0,0,1
5.302,54,135,41.5,0,0,0,1
5.37,54,135,41.5,0,0,0,1
5.423,54,135,41.6,0,0,0,1
5.488,54,135,41.5,0,0,0,1
5.542,54,135,41.5,0,0,0,1
5.61,54,135,41.5,0,0,0,1
5.664,54,135,41.5,0,0,0,1
5.729,54,135,41.5,0,0,0,1
5.782,54,135,41.5,0,0,0,1
5.851,54,135,41.5,0,0,0,1
5.904,54,135,41.5,0,0,0,1
5.972,54,135,41.5,0,0,0,1
6.026,54,135,41.6,0,0,0,1
6.093,54,135,41.5,0,0,0,1
6.146,54,135,41.5,0,0,0,1
6.212,54,135,41.5,0,0,0,1
6.266,54,135,41.5,0,0,0,1
6.333,54,135,41.5,0,0,0,1
6.387,54,135,41.5,0,0,0,1
6.453,54,135,41.6,0,0,0,1
6.507,54,135,41.5,0,0,0,1
6.572,54,135,41.5,0,0,0,1
6.626,54,135,41.5,0,0,0,1
6.695,54,135,41.6,0,0,0,1
6.749,54,135,41.5,0,0,0,1
6.815,54,135,41.5,0,0,0,1
6.869,54,135,41.5,0,0,0,1
6.936,54,135,41.5,0,0,0,1
6.99,54,135,41.6,0,0,0,1
7.054,54,135,41.5,0,0,0,1
7.108,54,135,41.6,0,0,0,1
7.176,54,135,41.6,0,0,0,1
7.23,54,135,41.5,0,0,0,1
7.296,54,135,41.6,0,0,0,1
7.35,54,135,41.5,0,0,0,1
7.416,54,135,41.5,0,0,0,1
7.47,54,135,41.5,0,0,0,1
7.538,54,135,41.5,0,0,0,1
7.592,54,135,41.5,0,0,0,1
7.656,54,135,41.5,0,0,0,1
7.71,54,135,41.5,0,0,0,1
7.778,54,135,41.5,0,0,0,1
7.831,54,135,41.5,0,0,0,1
7.898,54,135,41.6,0,0,0,1
7.952,54,135,41.5,0,0,0,1
8.019,54,135,41.6,0,0,0,1
8.072,54,135,41.5,0,0,0,1
8.139,54,135,41.5,0,0,0,1
8.192,54,135,41.5,0,0,0,1
8.259,54,135,41.5,0,0,0,1
8.313,54,135,41.5,0,0,0,1
8.38,54,135,41.5,0,0,0,1
8.434,54,135,41.6,0,0,0,1
8.5,54,135,41.5,0,0,0,1
8.554,54,135,41.5,0,0,0,1
8.62,54,135,41.6,0,0,0,1
8.674,54,135,41.5,0,0,0,1
8.741,54,135,41.6,0,0,0,1
8.795,54,135,41.5,0,0,0,1
8.861,54,135,41.6,0,0,0,1
8.915,54,135,41.6,0,0,0,1
8.984,54,135,41.5,0,0,0,1
9.038,54,135,41.5,0,0,0,1
9.105,54,135,41.5,0,0,0,1
9.158,54,135,41.5,0,0,0,1
9.223,54,135,41.5,0,0,0,1
9.276,54,135,41.5,0,0,0,1
9.345,54,135,41.5,0,0,0,1
9.399,54,135,41.5,0,0,0,1
9.464,54,135,41.5,0,0,0,1
9.518,54,135,41.5,0,0,0,1
9.587,54,135,41.5,0,0,0,1
9.64,54,135,41.6,0,0,0,1
9.707,54,135,41.5,0,0,0,1
9.761,54,135,41.6,0,0,0,1
9.827,54,135,41.5,0,0,0,1
9.88,54,135,41.5,0,0,0,1
9.946,54,135,41.5,0,0,0,1
10.0,54,135,41.5,0,0,0,1
10.066,54,135,41.5,0,0,0,1
10.12,54,135,41.6,0,0,0,1
10.187,54,135,41.6,0,0,0,1
10.241,54,135,41.6,0,0,0,1
10.308,54,135,41.5,0,0,0,1
10.361,54,135,41.5,0,0,0,1
10.429,54,135,41.5,0,0,0,1
10.483,54,135,41.6,0,0,0,1
10.55,54,135,41.5,0,0,0,1
10.603,54,135,41.5,0,0,0,1
10.668,54,135,41.5,0,0,0,1
10.722,54,135,41.5,0,0,0,1
10.792,54,135,41.6,0,0,0,1
10.846,54,135,41.6,0,0,0,1
10.912,54,135,41.5,0,0,0,1
10.965,54,135,41.5,0,0,0,1
11.032,54,135,41.5,0,0,0,1
11.085,54,135,41.5,0,0,0,1
11.152,54,135,41.5,0,0,0,1
11.206,54,135,41.5,0,0,0,1
11.273,54,135,41.5,0,0,0,1
11.327,54,135,41.5,0,0,0,1
11.395,54,135,41.5,0,0,0,1
11.448,54,135,41.6,0,0,0,1
11.514,54,135,41.5,0,0,0,1
11.567,54,135,41.5,0,0,0,1
11.633,54,135,41.5,0,0,0,1
11.687,54,135,41.6,0,0,0,1
11.755,54,135,41.5,0,0,0,1
11.809,54,135,41.6,0,0,0,1
11.875,54,135,41.5,0,0,0,1
11.929,54,135,41.5,0,0,0,1
11.997,54,135,41.5,0,0,0,1
12.051,54,135,41.5,0,0,0,1
12.118,54,135,41.5,0,0,0,1
12.171,54,135,41.5,0,0,0,1
12.236,54,135,41.6,0,0,0,1
12.289,54,135,41.5,0,0,0,1
12.356,54,135,41.5,0,0,0,1
12.41,54,135,41.5,0,0,0,1
12.478,54,135,41.5,0,0,0,1
12.532,54,135,41.5,0,0,0,1
12.599,54,135,41.5,0,0,0,1
12.653,54,135,41.5,0,0,0,1
12.72,54,135,41.5,0,0,0,1
12.774,54,135,41.5,0,0,0,1
12.839,54,135,41.5,0,0,0,1
12.893,54,135,41.5,0,0,0,1
12.959,54,135,41.5,0,0,0,1
13.013,54,135,41.5,0,0,0,1
13.081,54,135,41.5,0,0,0,1
13.135,54,135,41.5,0,0,0,1
13.2,54,135,41.5,0,0,0,1
13.254,54,135,41.5,0,0,0,1
13.322,54,135,41.5,0,0,0,1
13.376,54,135,41.5,0,0,0,1
13.443,54,135,41.5,0,0,0,1
13.497,54,135,41.5,0,0,0,1
13.562,54,135,41.5,0,0,0,1
13.616,54,135,41.5,0,0,0,1
13.683,54,135,41.5,0,0,0,1
13.737,54,135,41.5,0,0,0,1
13.803,54,135,41.5,0,0,0,1
13.857,54,135,41.5,0,0,0,1
13.925,54,135,41.5,0,0,0,1
13.979,54,135,41.6,0,0,0,1
14.043,54,135,41.5,0,0,0,1
14.097,54,135,41.6,0,0,0,1
14.164,54,135,41.6,0,0,0,1
14.218,54,135,41.5,0,0,0,1
14.285,54,135,41.6,0,0,0,1
14.339,54,135,41.5,0,0,0,1
14.405,54,135,41.5,0,0,0,1
14.459,54,135,41.6,0,0,0,1
14.526,54,135,41.5,0,0,0,1
14.58,54,135,41.5,0,0,0,1
14.646,54,135,41.5,0,0,0,1
14.7,54,135,41.5,0,0,0,1
14.766,54,135,41.5,0,0,0,1
14.82,54,135,41.5,0,0,0,1
14.889,54,135,41.5,0,0,0,1
14.943,54,135,41.5,0,0,0,1
15.008,54,135,41.5,0,0,0,1
15.065,54,135,41.5,0,0,0,1
15.726,54,135,41.5,0,0,0,1
15.779,54,135,41.6,0,0,0,1
15.86,54,135,41.5,0,0,0,1
15.934,54,135,41.5,0,0,0,1
15.995,54,135,41.6,0,0,0,1
16.056,54,135,41.5,0,0,0,1
16.112,54,135,41.5,0,0,0,1
16.178,54,135,41.6,0,0,0,1
16.259,54,135,41.6,0,0,0,1
16.343,54,135,41.5,0,0,0,1
16.417,54,135,41.5,0,0,0,1
16.477,54,135,41.5,0,0,0,1
16.544,54,135,41.5,0,0,0,1
16.636,54,135,41.5,0,0,0,1
16.707,54,135,41.5,0,0,0,1
16.791,54,135,41.5,0,0,0,1
16.873,54,135,41.5,0,0,0,1
16.978,54,637,44.2,0,0,0,0
17.032,55,1297,55.4,0,0,0,0
17.089,56,1297,249.8,23,0,0,0
17.151,58,1297,271.3,23,0,1,4
17.215,59,1290,274.7,23,0,1,4
17.277,60,1282,271.8,100,0,1,4
17.336,60,1290,272.7,100,0,0,0
17.399,61,1297,273.9,100,0,0,0
17.507,62,1297,277.1,100,0,0,0
17.565,62,1297,279.3,100,0,0,0
17.625,63,1305,275.0,100,0,0,0
17.685,63,1305,273.1,100,0,0,0
17.747,64,1305,278.0,100,0,0,0
17.805,64,1312,277.8,100,0,0,0
17.859,65,1312,277.9,100,0,0,0
17.912,65,1312,281.4,100,0,0,0
17.97,66,1320,278.2,100,0,1,4
18.028,66,1320,278.3,100,0,0,0
18.123,66,1320,278.8,100,0,1,4
18.178,67,1320,279.6,100,0,1,4
18.238,67,1320,279.6,100,0,1,4
18.298,68,1320,281.0,100,0,1,4
18.367,68,1312,275.4,100,0,1,4
18.421,68,1312,278.5,100,0,0,0
18.48,69,1320,277.6,100,0,1,4
18.54,69,1320,279.9,100,0,1,4
18.608,70,1312,279.7,100,0,1,4
18.662,70,1312,280.0,100,0,1,4
18.723,70,1312,280.3,100,0,1,4
18.784,70,1312,280.7,100,0,1,4
18.844,71,1312,278.8,100,0,0,0
18.935,71,1312,282.2,100,0,0,0
18.99,71,1312,281.7,100,0,1,4
19.053,72,1312,279.3,100,0,1,4
19.142,72,1312,279.2,100,0,0,0
19.2,72,1312,276.9,100,0,1,4
19.262,73,1312,280.5,100,0,1,4
19.318,73,1305,274.3,100,0,1,4
19.381,73,1305,279.1,100,0,1,4
19.44,73,1305,278.7,100,0,1,4
19.5,74,1305,278.8,100,0,1,4
19.56,74,1305,279.4,100,0,1,4
19.62,74,1305,279.2,100,0,1,4
19.682,74,1305,280.2,100,0,1,4
19.741,74,1305,279.4,100,0,1,4
19.801,75,1305,280.8,100,0,1,4
19.861,75,1305,278.1,100,0,0,0
19.956,75,1305,278.5,100,0,1,4
20.011,75,1297,274.1,100,0,1,4
20.075,76,1297,279.2,100,0,0,0
20.135,76,1297,279.2,100,0,0,0
20.193,76,1305,276.7,100,0,1,4
20.253,76,1305,280.9,100,0,1,4
20.313,76,1297,274.1,100,0,0,0
20.376,77,1260,269.6,100,0,0,0
20.444,77,1297,276.5,100,0,1,4
20.569,77,1297,276.3,100,0,1,4
20.625,77,1297,277.0,100,0,1,4
20.685,78,1297,277.6,100,0,1,4
20.746,78,1297,277.7,100,0,1,4
20.807,78,1297,278.4,100,0,1,4
20.867,78,1297,278.5,100,0,1,4
20.927,78,1297,278.5,100,0,1,4
20.987,78,1297,279.3,100,0,1,4
21.048,79,1297,279.7,100,0,1,4
21.11,79,1297,279.0,100,0,1,4
21.169,79,1297,277.7,100,0,1,4
21.23,79,1297,277.3,100,0,1,4
21.29,79,1297,276.8,100,0,0,0
21.384,79,1297,277.1,100,0,1,4
21.443,80,1297,277.1,100,0,1,4
21.5,80,1297,277.4,100,0,1,4
21.561,80,1297,277.5,100,0,1,4
21.625,80,1297,275.8,100,0,1,4
21.682,80,1297,275.8,100,0,1,4
21.743,80,1297,275.3,100,0,1,4
21.803,80,1297,275.6,100,0,1,4
21.864,81,1297,275.3,100,0,1,4
21.926,81,1297,276.2,100,0,1,4
21.985,81,1297,276.2,100,0,1,4
22.046,81,1297,277.7,100,0,1,4
22.106,81,1297,276.8,100,0,1,4
22.166,81,1297,276.4,100,0,1,4
22.228,81,1297,275.2,100,0,1,4
22.287,82,1297,274.8,100,0,1,4
22.35,82,1297,274.1,100,0,1,4
22.408,82,1297,275.3,100,0,1,4
22.471,82,1297,274.5,100,0,1,4
22.599,82,1252,269.8,100,0,0,0
22.664,82,1282,271.4,100,0,0,0
22.721,82,1260,268.6,100,0,0,0
22.785,83,1282,270.2,100,0,1,4
22.848,83,1215,268.2,100,1,0,32
22.925,83,1117,251.9,100,0,0,0
23.009,83,1125,253.3,100,1,0,32
23.067,83,1117,243.5,100,1,0,32
23.135,83,1102,240.3,100,0,0,0
23.214,83,1110,243.3,100,1,0,32
23.273,83,1095,236.9,100,1,0,32
23.338,83,1095,237.0,100,1,0,32
23.391,83,1095,236.5,100,1,0,32
23.452,83,1095,237.5,100,1,0,32
23.519,83,1080,230.7,100,1,0,32
23.572,83,1065,227.4,100,1,0,32
23.641,83,1065,224.0,100,0,0,0
23.694,83,1042,215.9,100,1,0,32
23.761,82,1042,215.7,100,1,0,32
23.814,82,1042,215.8,100,1,0,32
23.884,82,1035,215.4,100,1,0,32
23.962,82,1042,217.5,100,0,0,0
24.016,82,1042,215.7,100,1,0,32
24.083,82,1042,215.7,100,1,0,32
24.137,82,1042,216.8,100,1,0,32
24.2,82,1027,215.1,100,1,0,32
24.254,82,1035,214.0,100,1,0,32
24.325,82,1035,216.4,100,1,0,32
24.378,82,1035,216.4,100,1,0,32
24.443,82,1027,213.5,100,1,0,32
24.496,82,1035,214.9,100,1,0,32
24.567,82,1035,213.2,100,1,0,32
24.621,82,1042,215.3,100,0,0,0
24.685,82,1042,215.7,100,1,0,32
24.738,82,1042,218.4,100,1,0,32
24.807,83,1042,218.3,100,1,0,32
24.86,83,1035,214.7,100,1,0,32
24.93,83,1012,211.2,100,1,0,32
24.984,83,1005,206.9,100,1,0,32
25.05,82,1005,208.4,100,1,0,32
25.103,82,1012,207.2,100,1,0,32
25.174,83,1005,206.1,100,1,0,32
25.251,82,1012,207.5,100,0,0,0
25.305,82,997,203.2,100,0,0,0
25.376,82,1005,206.0,100,1,0,32
25.454,82,1012,207.8,100,0,0,0
25.507,82,997,202.2,100,0,0,0
25.577,82,1005,205.3,100,1,0,32
25.655,83,997,205.7,100,1,0,32
25.708,83,1005,206.3,100,1,0,32
25.776,82,1005,208.5,100,1,0,32
25.83,82,1012,206.8,100,1,0,32
25.9,83,1005,206.2,100,1,0,32
25.98,82,990,200.7,100,1,0,32
26.061,82,975,198.4,100,0,0,0
26.142,82,982,199.0,100,1,0,32
26.22,82,982,201.0,100,1,0,32
26.273,82,975,196.8,100,1,0,32
26.342,82,982,197.8,100,0,0,0
26.395,82,982,199.2,100,1,0,32
26.462,82,967,196.8,100,1,0,32
26.516,82,975,197.6,100,1,0,32
26.584,82,975,201.0,100,0,0,0
26.666,83,982,199.2,100,1,0,32
26.744,82,960,197.2,100,1,0,32
26.797,82,960,195.1,100,1,0,32
26.868,82,952,191.4,100,1,0,32
26.947,82,952,191.0,100,1,0,32
27.002,82,960,193.1,100,1,0,32
27.068,82,945,190.1,100,1,0,32
27.123,82,952,192.0,100,1,0,32
27.191,82,952,191.0,100,0,0,0
27.271,82,937,188.6,100,0,0,0
27.352,82,952,190.2,100,1,0,32
27.43,82,952,191.8,100,1,0,32
27.483,82,960,192.4,100,1,0,32
27.551,82,960,195.4,100,1,0,32
27.605,82,952,193.1,100,1,0,32
27.673,82,952,191.2,100,1,0,32
27.726,82,952,191.5,100,0,0,0
27.797,82,960,192.1,100,1,0,32
27.872,82,952,193.6,100,1,0,32
27.927,82,952,190.5,100,1,0,32
27.997,82,952,190.8,100,0,0,0
28.077,83,945,189.3,100,0,0,0
28.159,83,952,192.2,100,1,0,32
28.236,83,960,192.3,100,0,0,0
28.29,83,945,189.4,100,0,0,0
28.361,82,952,192.9,100,1,0,32
28.437,82,960,192.8,100,0,0,0
28.491,83,937,188.5,100,0,0,0
28.562,83,952,189.9,100,1,0,32
28.643,82,922,184.6,100,1,0,32
28.727,82,915,180.8,100,1,0,32
28.806,82,915,180.1,100,1,0,32
28.883,82,915,181.5,100,1,0,32
28.937,82,915,179.8,100,1,0,32
29.004,82,915,180.5,100,1,0,32
29.058,82,915,180.6,100,1,0,32
29.126,82,915,181.3,100,1,0,32
29.208,82,915,180.6,100,0,0,0
29.288,82,915,181.4,100,0,0,0
29.369,82,915,181.5,100,1,0,32
29.448,82,915,179.7,100,1,0,32
29.501,82,915,180.1,100,1,0,32
29.57,82,915,180.3,100,1,0,32
29.649,82,915,181.2,100,1,0,32
29.702,82,915,181.6,100,1,0,32
29.769,82,915,180.6,100,1,0,32
29.822,82,915,180.6,100,1,0,32
29.89,82,915,181.5,100,1,0,32
29.944,82,915,181.1,100,0,0,0
30.016,82,915,181.7,100,1,0,32
30.093,82,922,182.3,100,0,0,0
30.146,82,915,182.7,100,0,0,0
30.217,82,915,181.6,100,0,0,0
30.296,82,915,181.7,100,0,0,0
30.377,82,915,181.9,100,1,0,32
30.455,83,915,180.7,100,1,0,32
30.509,82,915,180.5,100,1,0,32
30.573,82,915,181.5,100,1,0,32
30.627,82,915,181.6,100,1,0,32
30.696,83,915,180.6,100,1,0,32
30.749,82,915,181.8,100,1,0,32
30.818,82,922,183.9,100,0,0,0
30.871,83,922,183.2,100,1,0,32
30.942,83,922,183.2,100,1,0,32
31.023,82,922,182.8,100,1,0,32
31.102,83,915,181.1,100,1,0,32
31.181,82,915,182.2,100,1,0,32
31.234,82,915,182.3,100,1,0,32
31.303,83,885,177.3,100,1,0,32
31.38,83,877,174.9,100,1,0,32
31.434,83,885,175.1,100,1,0,32
31.506,83,885,175.8,100,1,0,32
31.587,82,877,176.0,100,1,0,32
31.665,82,877,175.9,100,0,0,0
31.748,83,877,175.4,100,0,0,0
31.831,82,885,176.2,100,1,0,32
31.909,83,877,174.5,100,1,0,32
31.988,82,885,176.3,100,0,0,0
32.041,83,877,175.3,100,0,0,0
32.111,83,885,176.3,100,1,0,32
32.192,82,877,174.4,100,1,0,32
32.269,82,877,175.5,100,1,0,32
32.322,82,877,175.3,100,1,0,32
32.389,83,877,175.7,100,1,0,32
32.442,82,877,175.7,100,1,0,32
32.512,83,877,175.5,100,0,0,0
32.594,83,877,175.0,100,1,0,32
32.67,83,877,175.8,100,1,0,32
32.723,83,832,169.6,100,0,0,0
32.797,83,832,167.8,100,1,0,32
32.875,82,832,169.6,100,1,0,32
32.957,82,832,168.5,100,1,0,32
33.036,82,832,168.5,100,1,0,32
33.117,82,832,169.1,100,0,0,0
33.2,82,832,167.8,100,1,0,32
33.278,82,832,169.6,100,1,0,32
33.359,82,832,168.6,100,1,0,32
33.439,82,832,167.4,100,1,0,32
33.522,82,832,169.1,100,0,0,0
33.603,82,832,167.8,100,1,0,32
33.682,82,840,170.7,100,1,0,32
33.766,82,832,168.9,100,1,0,32
33.846,82,832,168.3,100,1,0,32
33.924,82,832,168.9,100,1,0,32
34.005,82,832,167.4,100,1,0,32
34.086,82,840,170.6,100,1,0,32
34.167,82,832,169.2,100,1,0,32
34.249,82,832,167.8,100,1,0,32
34.328,82,832,169.2,100,1,0,32
34.408,82,832,168.0,100,1,0,32
34.488,82,840,170.8,100,1,0,32
34.574,82,832,169.1,100,1,0,32
34.653,83,832,167.5,100,1,0,32
34.731,82,832,169.2,100,1,0,32
34.812,82,832,168.0,100,1,0,32
34.892,82,840,170.8,100,1,0,32
34.978,83,832,169.2,100,1,0,32
35.056,83,832,167.4,100,1,0,32
35.135,83,832,169.3,100,1,0,32
35.218,82,802,163.2,100,1,0,32
35.299,82,795,163.6,100,0,0,0
35.383,82,802,163.3,100,1,0,32
35.459,82,795,163.3,100,0,0,0
35.543,82,802,165.3,100,1,0,32
35.619,82,802,165.1,100,1,0,32
35.672,82,795,163.3,100,0,0,0
35.744,82,802,165.2,100,1,0,32
35.82,82,802,165.1,100,1,0,32
35.873,82,802,164.6,100,1,0,32
35.942,82,802,165.3,100,1,0,32
36.021,82,795,164.5,100,1,0,32
36.074,82,802,164.6,100,1,0,32
36.144,82,802,163.2,100,1,0,32
36.227,82,795,163.1,100,1,0,32
36.305,82,802,165.2,100,1,0,32
36.388,82,802,164.0,100,1,0,32
36.471,82,802,164.7,100,1,0,32
36.549,82,802,163.1,100,1,0,32
36.631,82,795,163.5,100,0,0,0
36.713,82,802,165.2,100,1,0,32
36.793,82,795,163.3,100,1,0,32
36.873,82,802,165.1,100,1,0,32
36.952,82,802,163.6,100,1,0,32
37.034,83,795,163.5,100,0,0,0
37.117,82,802,163.3,100,1,0,32
37.192,82,795,164.6,100,1,0,32
37.246,83,802,164.7,100,1,0,32
37.315,83,802,163.3,100,1,0,32
37.398,82,765,159.2,100,1,0,32
37.48,82,765,159.4,100,0,0,0
37.561,82,765,159.7,100,1,0,32
37.64,82,765,157.8,100,1,0,32
37.717,82,765,158.8,100,1,0,32
37.799,82,772,160.4,100,1,0,32
37.884,82,772,160.7,100,1,0,32
37.959,82,765,159.7,100,1,0,32
38.012,82,765,158.9,100,1,0,32
38.086,82,757,157.4,100,1,0,32
38.162,82,772,160.3,100,0,0,0
38.242,82,772,159.9,100,0,0,0
38.295,82,765,159.7,100,1,0,32
38.364,82,765,158.3,100,1,0,32
38.443,82,765,158.6,100,1,0,32
38.525,82,772,160.4,100,1,0,32
38.608,82,772,159.3,100,1,0,32
38.692,82,765,157.9,100,1,0,32
38.767,82,765,158.7,100,1,0,32
38.849,82,765,159.3,100,0,0,0
38.932,82,772,160.8,100,0,0,0
39.01,82,765,158.0,100,1,0,32
39.093,82,765,158.7,100,1,0,32
39.17,82,765,158.0,100,1,0,32
39.223,82,765,160.1,100,0,0,0
39.297,82,765,159.8,100,1,0,32
39.373,82,765,158.0,100,1,0,32
39.452,82,765,158.6,100,1,0,32
39.536,82,765,158.9,100,1,0,32
39.616,83,765,159.7,100,0,0,0
39.701,82,765,158.8,100,1,0,32
39.775,82,765,159.7,100,1,0,32
39.828,82,765,159.3,100,1,0,32
39.901,83,765,159.1,100,1,0,32
39.979,82,772,160.7,100,1,0,32
40.062,82,765,159.9,100,1,0,32
40.139,82,765,158.3,100,1,0,32
40.219,82,765,159.2,100,1,0,32
40.303,83,765,159.5,100,0,0,0
40.385,83,765,160.0,100,1,0,32
40.461,83,727,156.8,100,1,0,32
40.514,82,727,152.7,100,1,0,32
40.586,82,727,152.6,100,1,0,32
40.663,82,727,152.6,100,1,0,32
40.743,82,727,153.1,100,1,0,32
40.827,82,727,153.2,100,1,0,32
40.909,82,727,152.9,100,1,0,32
40.988,82,727,154.3,100,1,0,32
41.041,82,735,154.8,100,1,0,32
41.116,82,727,153.1,100,1,0,32
41.192,82,727,153.3,100,0,0,0
41.276,82,735,154.4,100,1,0,32
41.354,82,742,156.0,100,1,0,32
41.437,82,735,155.4,100,1,0,32
41.519,82,735,155.2,100,1,0,32
41.598,82,735,155.4,100,1,0,32
41.68,82,727,154.3,100,1,0,32
41.759,82,727,153.0,100,1,0,32
41.843,82,727,152.5,100,1,0,32
41.924,82,727,153.4,100,1,0,32
42.003,82,727,152.5,100,1,0,32
42.085,82,727,152.4,100,1,0,32
42.164,82,727,152.9,100,1,0,32
42.247,82,727,153.0,100,1,0,32
42.331,82,727,152.8,100,1,0,32
42.407,82,727,154.5,100,1,0,32
42.461,82,727,153.6,100,1,0,32
42.533,82,727,153.2,100,1,0,32
42.611,82,727,153.7,100,1,0,32
42.664,82,735,155.0,100,1,0,32
42.738,82,735,154.6,100,0,0,0
42.818,82,735,155.2,100,1,0,32
42.898,82,735,155.0,100,1,0,32
42.978,82,735,155.4,100,1,0,32
43.063,82,735,153.8,100,1,0,32
43.147,82,727,154.5,100,1,0,32
43.223,82,727,152.9,100,1,0,32
43.304,82,727,152.7,100,1,0,32
43.385,82,727,152.8,100,1,0,32
43.467,82,727,153.0,100,1,0,32
43.549,82,727,152.8,100,1,0,32
43.629,82,727,152.9,100,1,0,32
43.711,82,727,152.9,100,1,0,32
43.791,82,727,153.6,100,1,0,32
43.874,82,735,155.1,100,0,0,0
43.958,83,735,154.9,100,1,0,32
44.037,82,735,155.0,100,1,0,32
44.117,83,735,154.5,100,1,0,32
44.171,82,697,150.5,100,0,0,0
44.244,82,697,149.8,100,1,0,32
44.322,82,697,149.7,100,0,0,0
44.406,82,705,151.0,100,1,0,32
44.486,82,705,150.4,100,1,0,32
44.571,82,690,147.1,100,1,0,32
44.648,82,690,147.4,100,1,0,32
44.727,82,690,149.4,100,1,0,32
44.809,82,690,149.0,100,1,0,32
44.894,82,690,149.3,100,0,0,0
45.015,82,705,150.6,100,0,0,0
45.096,82,697,149.0,100,1,0,32
45.176,82,697,148.4,100,1,0,32
45.256,82,690,148.3,100,1,0,32
45.337,82,690,149.3,100,1,0,32
45.418,82,697,149.8,100,0,0,0
45.5,82,697,149.9,100,1,0,32
45.583,82,697,148.9,100,1,0,32
45.662,82,705,150.1,100,1,0,32
45.746,82,690,147.2,100,1,0,32
45.823,82,690,146.7,100,1,0,32
45.906,82,690,149.5,100,1,0,32
45.989,82,697,149.7,100,0,0,0
46.066,82,697,144.8,100,0,0,0
46.12,82,712,151.6,100,1,0,32
46.194,82,705,149.8,100,1,0,32
46.272,82,697,148.6,100,1,0,32
46.354,82,690,146.6,100,1,0,32
46.433,82,690,147.7,100,1,0,32
46.516,82,690,149.1,100,1,0,32
46.596,82,690,148.4,100,0,0,0
46.679,82,697,149.6,100,1,0,32
46.758,82,697,149.1,100,1,0,32
46.841,82,690,147.3,100,1,0,32
46.921,82,690,147.0,100,1,0,32
